text,dominant_distortion,secondary_distortion
It's victory or death.,All-or-Nothing Thinking,
I lost ten dollars; I'm destitute.,Magnification or Minimization,
I burned the rice; I ruin everything.,Overgeneralization,
My son failed; it's my fault and I'm a terrible parent.,Personalization,All-or-Nothing Thinking
"I burned the toast, so I can't cook anything, and I've forgotten the delicious dinner I made yesterday.",Overgeneralization,Mental Filter
I'm perplexed by his sudden silence.,No Distortion,
"I look good, but it's just the makeup, and I'm always ugly underneath.",Disqualifying the Positive,Overgeneralization
I got a B; I'm failing.,Magnification or Minimization,
I should be taller.,Should Statements,
"I am a bad mother, so my kids hate me, and I've ruined their lives.",Labeling,Magnification or Minimization
This typo is a catastrophe.,Magnification or Minimization,
I'll never get married.,Jumping to Conclusions,
"I must please everyone, and the 10 people who are happy don't matter if one isn't.",Should Statements,Disqualifying the Positive
I'm annoyed that the traffic made me late for the movie.,No Distortion,
"I got a C; I'll never graduate, because I feel so stupid and hopeless.",Magnification or Minimization,Emotional Reasoning
"I know I'll freeze on stage, and then my career will be destroyed.",Jumping to Conclusions,All-or-Nothing Thinking
"I passed the test, but missed one, so I'm dumb.",Mental Filter,
"I got a raise, but my commute is longer, so the job sucks.",Mental Filter,All-or-Nothing Thinking
"I know I'll freeze on stage, and my previous successful speeches were just flukes.",Jumping to Conclusions,Disqualifying the Positive
I regret yelling at my kids this morning; I need to apologize.,No Distortion,
"The world should be fair, and this injustice is unbearable.",Should Statements,Magnification or Minimization
"I am a loser, and I ought to be a winner.",Labeling,Should Statements
You either support me unconditionally or you're my enemy.,All-or-Nothing Thinking,
"I should have known, and since I didn't, I'm stupid, and I ought to read more.",Should Statements,Labeling
I'm frazzled trying to juggle work and childcare.,No Distortion,
"I got the job, but they were desperate, because I don't feel qualified at all.",Disqualifying the Positive,Emotional Reasoning
I forgot the keys; I'm completely useless.,Magnification or Minimization,
"I feel hopeless, so I am doomed.",Emotional Reasoning,
I feel skeptical about this new investment opportunity.,No Distortion,
"Unless I win first place, I am a loser.",All-or-Nothing Thinking,
"I didn't win gold, so I'm a loser, and I ought to have won.",Magnification or Minimization,Should Statements
"The review was great, but they mentioned a typo, so I failed.",Mental Filter,
I am livid that the contractor didn't show up again.,No Distortion,
"I must never mess up, but I did, and I'm obsessed with the error.",Should Statements,Mental Filter
"I contributed to the project, but my part was tiny and insignificant.",Magnification or Minimization,
"I look young in this photo, but it's just a filter.",Disqualifying the Positive,
"I ought to be rich, and since I'm not, I'm a bum.",Should Statements,Labeling
I spilled tea; I've ruined the carpet forever.,Magnification or Minimization,
The team lost; I played badly so I ruined the game for everyone.,Personalization,All-or-Nothing Thinking
"My girlfriend is wonderful, but she chews loudly, so I can't stand her.",Mental Filter,
"I lost my wallet, so I always lose everything, and this is the end of the world.",Overgeneralization,Magnification or Minimization
"He loves me, but he doesn't know the real me, and I'm a fake.",Disqualifying the Positive,Labeling
"I am a fraud, so my entire career is a lie.",Labeling,All-or-Nothing Thinking
"I'm either a genius or an idiot, and I made a mistake, so I'm a moron.",All-or-Nothing Thinking,Labeling
"The presentation went well, but I stuttered once, so I failed completely.",Mental Filter,All-or-Nothing Thinking
"If I try to dance, everyone will stare.",Jumping to Conclusions,
I am frustrated that the mechanic charged more than the estimate.,No Distortion,
"I saved money, but I should have saved more.",Disqualifying the Positive,
They are quiet; they must be plotting against me.,Jumping to Conclusions,
"If I wear this, everyone will laugh at me.",Jumping to Conclusions,
"My husband is sad; I upset him, and I always make him unhappy.",Personalization,Overgeneralization
"I made a typo; I'm unprofessional, and the rest of the perfect report is invalid.",Magnification or Minimization,Disqualifying the Positive
The bus is late; I jinxed it.,Personalization,
"He looks bored; I'm boring him, and I ought to be more interesting.",Personalization,Should Statements
"I feel anxious, so I am in danger.",Emotional Reasoning,
"They laughed, but they laugh at everything.",Disqualifying the Positive,
I feel let down that the movie didn't live up to the hype.,No Distortion,
"I cooked dinner, but used a mix, so I can't cook, and I'm a bad housewife.",Disqualifying the Positive,Labeling
I gained two pounds; I'm massive.,Magnification or Minimization,
"I have a pimple; I look like a monster, and I'm ignoring my nice eyes.",Magnification or Minimization,Mental Filter
I'm anxious about the dentist appointment because I might need a filling.,No Distortion,
"If I'm not the best, I'm the worst, and coming in second is a humiliation I'll never live down.",All-or-Nothing Thinking,Magnification or Minimization
I tripped; everyone is judging me.,Magnification or Minimization,
"The team lost; I played badly, and the other players' mistakes don't count.",Personalization,Disqualifying the Positive
"I got a C; I'll never graduate, and I'm ignoring my A in other classes.",Magnification or Minimization,Mental Filter
"Unless everyone likes me, I'm worthless, and I must make everyone happy.",All-or-Nothing Thinking,Should Statements
"My art sold, but the buyer probably has bad taste.",Disqualifying the Positive,
"All men are liars, and my new boyfriend is definitely cheating on me.",Overgeneralization,Jumping to Conclusions
I'm irritated that the train is delayed again.,No Distortion,
"I look good, but it's the filter.",Disqualifying the Positive,
"She yawned, so I'm boring, and her asking me questions is just her being polite.",Jumping to Conclusions,Disqualifying the Positive
Nothing ever goes right for me.,Overgeneralization,
I never get lucky with lottery tickets.,Overgeneralization,
I regret forgetting to water the plants; they look so wilted now.,No Distortion,
It rained on the game; I brought the bad luck.,Personalization,
"Unless I do it perfectly, I shouldn't do it at all, or I'm a failure.",All-or-Nothing Thinking,Labeling
"I feel bored, so life is dull, and I'm not doing enough to make it fun.",Emotional Reasoning,Personalization
"The party was fun, but I said one awkward thing, so I humiliated myself, and I always ruin social events.",Mental Filter,Overgeneralization
"I look okay, but I have a gray hair, so I'm old and haggard.",Mental Filter,Labeling
Nobody appreciates what I do for this family.,Overgeneralization,
"If I'm not the best, I'm the worst, and coming in second place is just the first loser.",All-or-Nothing Thinking,Disqualifying the Positive
He's tapping his foot; he's impatient with me.,Jumping to Conclusions,
"The boss called me in, so I'm fired, because I'm a failure.",Jumping to Conclusions,Labeling
"My cake tasted good, but I used a mix.",Disqualifying the Positive,
"The feedback was good, but they noted a typo, so I failed, and this error is catastrophic.",Mental Filter,Magnification or Minimization
"My performance was trash because I stumbled, and the standing ovation was just pity.",All-or-Nothing Thinking,Disqualifying the Positive
"They hired him, so I never get picked, and this is a tragedy.",Overgeneralization,Magnification or Minimization
I'm tense because of the tight deadline I have to meet.,No Distortion,
I'm confused about why my application was rejected without feedback.,No Distortion,
"I am a coward, and I'm letting my family down by not fighting.",Labeling,Personalization
"I must never make a mistake, or my career is finished.",Should Statements,All-or-Nothing Thinking
"He held my hand, but he probably felt sorry for me.",Disqualifying the Positive,
I should always be cheerful.,Should Statements,
"I am a failure, because I failed this one test, ignoring my successes.",Labeling,Mental Filter
"I got a C; I'll never graduate, and I should have studied.",Magnification or Minimization,Should Statements
"I feel stupid, so I am dumb.",Emotional Reasoning,
I stumbled; I'm a complete klutz.,Magnification or Minimization,
"I got a C; I'll never graduate, and my life is ruined.",Magnification or Minimization,Jumping to Conclusions
"It's perfection or failure, and since I failed, I'll always be a failure.",All-or-Nothing Thinking,Overgeneralization
"I got the bonus, but everyone got one.",Disqualifying the Positive,
"I feel hopeless, so it's over, and I'm a lost cause.",Emotional Reasoning,Labeling
"The essay has a typo, so the whole paper is trash.",All-or-Nothing Thinking,
"I burned the toast, so I ruin every meal, and I must learn to cook.",Overgeneralization,Should Statements
I spilled water; the floor is ruined.,Magnification or Minimization,
I always get the slow lane at the grocery store.,Overgeneralization,
"I feel ashamed, so I am a disgrace.",Emotional Reasoning,
"I feel anxious, so there is danger.",Emotional Reasoning,
"I feel ugly, so I am ugly.",Emotional Reasoning,
All men are untrustworthy liars.,Overgeneralization,
"I got a bonus, but taxes took half, so it's worthless.",Mental Filter,
